CONVERSATION_ID,CONVERSATION_URL,START_DATE,CONVERSATION_STATUS,TAGS,CATEGORY,CUSTOMER_NAME,CUSTOMER_ID,CUSTOMER_EMAIL,CUSTOMER_PHONE_NUMBER,COUNTRY,ASSIGNEE_NAME,ASSIGN_TIMESTAMP,TEAM,PERSON_IN_CHARGE,BOT
1fd8ed9f-79d6-4a38-9bb3-db8dee2c7910,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=1fd8ed9f-79d6-4a38-9bb3-db8dee2c7910,2025-03-16 04:24:19,CLOSED,,,Anonymous,9302cc19-6671-4e39-bee8-9133771bd770,1741997103088@localhost,,Vietnam,,,,hllglgggg,hllglgggg
8cd30f94-f5f0-4fa4-944f-6f1d319f1b82,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=8cd30f94-f5f0-4fa4-944f-6f1d319f1b82,2025-03-15 07:05:06,CLOSED,,,Anonymous,9302cc19-6671-4e39-bee8-9133771bd770,1741997103088@localhost,,Vietnam,,,,hllglgggg,hllglgggg
98310657-593d-4bab-a78f-0f8a57a4965e,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=98310657-593d-4bab-a78f-0f8a57a4965e,2025-03-15 06:33:24,CLOSED,,,Toast,d349dc4f-863c-4cdf-8f81-0590c9cb9ba4,toast@gmail.com,(+84) 1234344545,Vietnam,,,,"Trí Bùi, CellphoneS+",CellphoneS+
da347fc4-8041-4edb-a72f-1dfccae19e9f,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=da347fc4-8041-4edb-a72f-1dfccae19e9f,2025-03-14 23:13:49,OPEN,,,Tri Developer,ef985553-2f16-47af-9b84-4be1a799db04,abc@gmail.com,(+84) 1212131414,Vietnam,,,,"Hiền Nguyễn, CellphoneS+",CellphoneS+
3ad95b95-ffb8-4026-b8ac-5bf7c9d42f68,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=3ad95b95-ffb8-4026-b8ac-5bf7c9d42f68,2025-03-14 10:14:10,CLOSED,,,Anonymous,f0051a83-52d1-42de-a988-3c3bea74f439,1741865755388@localhost,,Vietnam,,,,"Trí Bùi, My boss",My boss
b30185a4-850f-47d3-b5b1-164771e86a0b,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=b30185a4-850f-47d3-b5b1-164771e86a0b,2025-03-13 21:17:10,CLOSED,,,Anonymní,0d9a7c61-b2ca-4544-8eb5-7d9b20f44357,1741875427809@staging-chat.cxgenie.ai,,Vietnam,,,,"Hùng Nguyễn, Genie",Genie
d73cc392-04a5-4295-befe-e65b3ac82ae9,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=d73cc392-04a5-4295-befe-e65b3ac82ae9,2025-03-13 18:35:58,CLOSED,,,Anonymous,f0051a83-52d1-42de-a988-3c3bea74f439,1741865755388@localhost,,Vietnam,,,,My boss,My boss
089e7860-9d58-4821-b716-07fcf1e18fd5,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=089e7860-9d58-4821-b716-07fcf1e18fd5,2025-03-13 16:26:49,CLOSED,,,Anonymous,33f24fcd-d36c-4bd0-b3b0-fca84530893d,1741858011563@staging-widget.cxgenie.ai,,Vietnam,,,,Test CA Bot,Test CA Bot
f8da7607-8d54-4301-89cd-1ce20fde734d,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=f8da7607-8d54-4301-89cd-1ce20fde734d,2025-03-13 15:55:21,CLOSED,,,Anonymous,3917c9b8-857c-4e7f-b084-135dda578c95,1741856123472@staging-widget.cxgenie.ai,,Vietnam,,,,"Punnyer, Test CA Bot",Test CA Bot
3421ad9d-3d98-4c39-a392-e0afaaca37ab,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=3421ad9d-3d98-4c39-a392-e0afaaca37ab,2025-03-13 15:33:07,CLOSED,,,Anonymous,806bff10-b114-4423-a040-43543c67d31b,1741854788810@staging-widget.cxgenie.ai,,Vietnam,,,,"Hiền Nguyễn, Test CA Bot",Test CA Bot
434d4acb-b75f-428f-bf58-cdb5690b2548,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=434d4acb-b75f-428f-bf58-cdb5690b2548,2025-03-13 14:50:56,CLOSED,,,test,3484bec4-5c2b-45ff-8db2-0c9d2689d181,test@mail.com,(+84) 123232323,Vietnam,,,,GenieA,GenieA
34b9f24a-d817-4d64-acd3-88cd172ff44d,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=34b9f24a-d817-4d64-acd3-88cd172ff44d,2025-03-13 14:34:48,CLOSED,,,nhun,be3db114-122c-401d-b7a7-5601273359a1,nhun@nhun.nhun,,Vietnam,,,,Tuyết Nhung Hà,
af8138b9-5442-4590-97be-fc82b1ba3b9d,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=af8138b9-5442-4590-97be-fc82b1ba3b9d,2025-03-13 14:33:18,CLOSED,,,Anonymous,86fe987e-96d5-403d-9d17-ef44f6224864,1741773151619@localhost,,Vietnam,,,,Test CA Bot,Test CA Bot
b0aa5eaa-b7d4-4544-9ae9-81c268c4a0c1,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=b0aa5eaa-b7d4-4544-9ae9-81c268c4a0c1,2025-03-13 12:55:40,CLOSED,,,Anonymous,a4f4fa44-a423-4f83-bca0-f15778222f6e,1741845339211@localhost,,Vietnam,,,,"Hiền Nguyễn, [MTR] VNExpress QnA",[MTR] VNExpress QnA
71d6628c-2de8-4139-a10c-6372c7d38007,http://localhost:3000/workspaces/1e000efd-7ea3-4412-a2c0-087464ae5a47/help-desk?session_id=71d6628c-2de8-4139-a10c-6372c7d38007,2025-03-13 11:35:41,CLOSED,,,Anonymous,72c16067-b0b6-4c62-8fe2-f905bd68066c,1741840540376@localhost,,Vietnam,,,,"Tuyết Nhung Hà, [MTR] VNExpress QnA",[MTR] VNExpress QnA
